id,code,office
286,04332,Kosele
287,50117,Koyonzo
288,60125,Kubu Kubu
289,10304,Kutus
290,80403,Kwale
291,90220,Kyatune
292,90209,Kyeni
293,90401,Kyuso
294,60601,Laare
295,20330,Laikipia Campus
296,60502,Laisamis
297,80500,Lamu
298,20112,Lanet
299,30112,Langas
300,00509,Langata
301,00603,Lavington
302,30302,Lessos
303,80110,Likoni
304,00217,Limuru
305,20210,Litein
306,30500,Lodwar
307,00209,Loitokitok
308,60501,Loiyangalani
309,30503,Lokichoggio
310,30504,Lokitaung
311,40701,Lolgorian
312,20203,Londiani
313,20402,Longisa
314,00604,Lower Kabete
315,50307,Luanda
316,50240,Luandeti
317,50118,Lubao
318,50108,Lugari
319,50218,Lugulu
320,40623,Luhano
321,50230,Lukusi
322,50242,Lumakanda
323,80402,Lunga Lunga
324,50119,Lunza
325,50220,Lwakhakha
326,20147,Maai Mahiu
327,50235,Mabusi
328,90100,Machakos
329,01002,Madaraka
330,40613,Madiany
331,80207,Madina
332,00205,Magadi
333,40516,Magena
334,50325,Mago
335,40507,Magombo
336,60403,Magumoni
337,40307,Magunga
338,60407,Magutuni
339,40508,Magwagwa
340,90138,Makindu
341,00510,Makongeni
342,90300,Makueni
343,80112,Makupa
344,50209,Malakisi
345,50103,Malava
346,80200,Malindi
347,70300,Mandera
348,60101,Manyatta
349,50300,Maragoli
350,10205,Maragua
351,20600,Maralal
352,80113,Mariakani
353,30403,Marigat
354,60408,Marima
355,60215,Marimanti
356,20322,Marmanet
357,60500,Marsabit
358,70105,Masalani
359,40105,Maseno
360,01103,Mashuru
361,90101,Masii
362,90141,Masinga
363,00221,Matathia
364,00611,Mathare Valley
365,90140,Matiliku
366,80406,Matuga
367,30205,Matunda
368,90119,Matuu
369,60600,Maua
370,80317,Maungu
371,90304,Mavindini
372,40310,Mawego
373,80114,Mazeras
374,00503,Mbagathi
375,10233,Mbiri
376,40305,Mbita
377,90214,Mbitini
378,90110,Mbiuni
379,90127,Mbumbuni
380,00504,Mchumbi Rd
381,40123,Mega City
382,20104,Menengai
383,60303,Merti
384,60200,Meru
385,40319,Mfangano
386,80313,Mgambonyi
387,80306,Mgange
388,60604,Miathene
389,90402,Migwani
390,20301,Miharati
391,60607,Mikinduri
392,50138,Milimani
393,20123,Milton Siding
394,20124,Mirangine
395,40320,Mirogi
396,50207,Misikhu
397,90104,Mitaboni
398,60204,Mitunguu
399,90112,Miu
400,80106,Mkomani
401,00519,Mlolongo
402,00620,Mobil Plaza
403,70102,Modo Gashe
404,20403,Mogogosiek
405,20105,Mogotio
406,80115,Moi Airport
407,30107,Moi University
408,30202,Mois Bridge
409,30104,Moiben
410,40510,Mokomoni
411,80502,Mokowe
412,20106,Molo
413,80100,Mombasa G.P.O
414,30307,Mosoriot
415,60700,Moyale
416,80503,Mpeketoni
417,80404,Msambweni
418,90128,Mtitu Andei
419,80111,Mtongwe
420,80117,Mtopanga
421,80109,Mtwapa
422,50423,Mubwayo
423,10129,Mugunda
424,40107,Muhoroni
425,40409,Muhuru Bay
426,50225,Mukhe
427,10103,Mukurweini
428,50102,Mumias
429,10200,Muranga
430,50125,Musanda
431,90211,Mutha
432,00619,Muthaiga
433,60605,Muthara
434,90113,Muthetheni
435,90117,Mutituni
436,90201,Mutomo
437,40628,Mutumbu
438,90102,Mwala
439,80305,Mwatate
440,10104,Mweiga
441,90400,Mwingi
442,50226,Myanga
443,20504,Nairage Enkare
444,20142,Naishi
445,50211,Naitiri
446,20117,Naivasha
447,20100,Nakuru
448,00207,Namanga
449,50127,Nambacha
450,50409,Nambale
451,30301,Nandi Hills
452,40615,Nango
453,10400,Nanyuki
454,10105,Naro Moru
455,20500,Narok
456,90118,Ndalani
457,50212,Ndalu
458,20404,Ndanai
459,20306,Ndaragwa
460,00229,Nderu
461,40302,Ndhiwa
462,01016,Ndithini
463,90202,Ndooa
464,40602,Ndori
465,20317,Ndunyu Njeru
466,80311,Ngambwa
467,40603,Ngiya
468,00600,Ngara Road
469,00218,Ngecha
470,00901,Ngewa
471,30404,Nginyang
472,00208,Ngong Hills
473,00505,Ngong Road
474,90407,Nguni
475,90129,Ngwata
476,20107,Njoro
477,60214,Nkondi
478,60202,Nkubu
479,20318,North-Kinangop
480,90130,Nunguni
481,40124,Nyabondo
482,20300,Nyahururu
483,80118,Nyali.
484,40203,Nyamache
485,40206,Nyamarambe
486,40205,Nyambunwa
487,40500,Nyamira
488,40632,Nyamonye
489,40333,Nyandhiwa
490,40126,Nyangande
491,40127,Nyangori
492,40218,Nyangusu
493,40311,Nyangweso
494,40502,Nyansiongo
495,40514,Nyaramba
496,40402,Nyatike
497,00506,Nyayo Stadium
498,10100,Nyeri
499,40611,Nyilima
500,90136,Nzeeka
501,90143,Nziu
502,40204,Ogembo
503,40323,Ogongo
504,90301,Okia
505,20303,Ol-Kalou
506,20302,Oljoro-Orok
507,20503,Ololulunga
508,20152,Olenguruone
509,40221,Omogonchoro
510,00511,Ongata Rongai
511,30602,Ortum
512,10106,Othaya
513,40222,Oyugis
514,40111,Pap-Onditi
515,00623,Parklands
516,40131,Paw Akuche
517,50410,Port Victoria
518,40132,Rabuor
519,40604,Ragengni
520,40412,Ranen
521,40303,Rangwe
522,40403,Rapogi
523,40137,Ratta
524,40133,Reru
525,70302,Rhamu
526,40511,Rigoma
527,40512,Riochanda
528,40220,Riosiri
529,40326,Rodi Kopany
530,00300,Ronald Ngala St
531,20108,Rongai
532,40404,Rongo
533,20204,Roret
534,00520,Ruai
535,00618,Ruaraka
536,00232,Ruiru
537,20321,Rumuruti
538,60103,Runyenjes
539,20313,Rurii
540,10133,Ruringu
541,10208,Saba-Saba
542,80308,Sagalla
543,10230,Sagana
544,80120,Samburu
545,40405,Sare
546,00606,Sarit Centre
547,40612,Sawagongo
548,40614,Sega
549,50308,Serem
550,30407,Seretunin
551,50106,Shianda
552,80407,Shimba Hills
553,80409,Shimoni
554,50107,Shinyalu
555,60104,Siakago
556,40600,Siaya
557,40605,Sidindi
558,40635,Sigomre
559,20405,Sigor
560,20422,Silibwet
561,40308,Sindo
562,20423,Siongiroi
563,50208,Sirisia
564,20128,Solai
565,40109,Sondu
566,40110,Songhor
567,20205,Sosiot
568,20406,Sotik
569,20319,South-Kinangop
570,30105,Soy
571,40418,Suba-Kuria
572,20109,Subukia
573,20602,Suguta Mar Mar
574,20151,Sulmac
575,90132,Sultan Hamud
576,40400,Suna
577,40229,Tabaka
578,70303,Takaba
579,09013,Tala
580,30704,Tambach
581,80309,Tausa
582,80302,Taveta
583,90133,Tawa
584,30405,Tenges
585,01000,Thika
586,10406,Timau
587,20110,Timber Mills
588,30108,Timboroa
589,50309,Tiriki
590,00400,Tom Mboya St
591,30707,Tot
592,90203,Tulia
593,60213,Tunyai
594,30106,Turbo
595,40606,Ugunja
596,00517,Uhuru Gardens
597,80400,Ukunda
598,40607,Ukwala
599,00222,Uplands
600,40608,Uranga
601,40228,Uriri
602,40609,Usenge
603,00605,Uthiru
604,50310,Vihiga
605,00621,Village Market
606,80119,Vipingo
607,80211,Vitengeni
608,00507,Viwandani
609,80300,Voi
610,60121,Wachoro
611,70200,Wajir
612,20603,Wamba
613,90103,Wamunyu
614,00614,Wangige
615,10303,Wanguru
616,20305,Wanjohi
617,80202,Watamu
618,50205,Webuye
619,30603,Wei-Wei
620,80303,Werugha
621,00800,Westlands
622,40141,Winam (Kisumu Gpo Extn.)
623,80504,Witu
624,50311,Wodanga
625,80304,Wundanyi
626,40610,Yala
627,00508,Yaya Towers
628,90134,Yoani
629,30214,Ziwa
630,90213,Zombe
